label,message
ham,Hello how are you
spam,Win money now
ham,Let's meet tomorrow
spam,Claim your free prize
ham,Are you coming today
spam,Limited time offer click now
ham,See you at office
spam,Congratulations you won cash
ham,Can we discuss the project tomorrow
spam,Free vacation offer click here
ham,Good morning have a nice day
spam,You have won a lottery claim now
ham,Please send me the report by evening
spam,Exclusive deal available only today
ham,Let's have lunch together
spam,Click here to get free coupons
ham,Meeting has been rescheduled to 3 PM
spam,You are selected for a cash reward
ham,Can you call me when free
spam,Urgent! Verify your bank account now
ham,Happy birthday have a great day
spam,Get rich quickly with this simple trick
ham,I will reach office in 10 minutes
spam,You won a free iPhone click now
ham,Thanks for your help yesterday
spam,Lowest price guaranteed buy now
ham,Please review the attached document
spam,Act now to claim your bonus reward
ham,Dinner plan confirmed for tonight
spam,Free entry in contest click immediately
ham,The assignment deadline is tomorrow
spam,Earn money from home instantly
ham,Can we schedule a meeting tomorrow
spam,Limited period offer don't miss out
ham,Your appointment is confirmed
spam,Congratulations you have been selected
ham,Let's go for coffee this weekend
spam,Winner! Claim your cash prize today
ham,Project discussion at 5 PM
spam,Unlock premium membership for free
ham,Please check your email
spam,Special discount available only for you
ham,Can you help me with this task
spam,Get free recharge now
ham,The files have been uploaded successfully
spam,You are eligible for instant loan approval
ham,Hope you are doing well
spam,Exclusive offer just for lucky customers
ham,Let's practice machine learning today
spam,Claim your reward before it expires
